motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,motor_7,motor_8,motor_9,motor_10,direction,depth_image,label
0.1362,-0.5215,0.2482,0.195,-0.02675,0.608,-0.26,0.0732,-0.08795,-0.575,sidewinding_right,depth_image_109679.jpg,3
-0.2379,0.2551,-0.159,-0.485,0.1677,-0.469,0.233,0.278,-0.0649,0.592,sidewinding_right,depth_image_2334.jpg,3
0.003769,0.006096,-0.1798,-0.00702,0.4824,0.01025,-0.3633,-0.00695,0.002914,0.004562,straight,depth_image_50726.jpg,4
0.01602,-0.61,-0.2512,-0.171,-0.127,0.534,0.1953,0.4067,0.2131,-0.355,sidewinding_left,depth_image_57694.jpg,2
0.2065,0.1234,-0.6245,0.00364,0.6577,-0.1284,-0.2861,0.1742,-0.2615,-0.11273,rectilinear_forward,depth_image_82553.jpg,1
-0.00762,-0.07306,0.0056,0.1726,0.01046,0.2607,-0.00817,-0.009026,-0.00805,-0.349,straight,depth_image_140925.jpg,4
0.2612,0.03912,0.074,-0.586,-0.2286,-0.2976,-0.1748,0.4546,0.1515,0.4983,sidewinding_left,depth_image_196304.jpg,2
0.6978,0.1234,-0.4714,0.00364,-0.04526,-0.1284,0.534,0.1742,-0.6943,-0.11273,rectilinear_forward,depth_image_139935.jpg,1
-0.5776,0.1234,0.117,-0.1744,0.4158,0.11816,-0.6924,0.01091,0.543,-0.1333,rectilinear_backward,depth_image_214389.jpg,0
0.1477,0.1234,-0.5947,0.00364,0.676,-0.1284,-0.3406,0.1742,-0.204,-0.11273,rectilinear_forward,depth_image_73738.jpg,1
-0.6274,0.1234,0.6553,0.00364,-0.2798,-0.1284,-0.2678,0.1742,0.651,-0.11273,rectilinear_forward,depth_image_172488.jpg,1
-0.11273,0.1234,0.575,0.00364,-0.6836,-0.1284,0.3713,0.1742,0.1697,-0.11273,rectilinear_forward,depth_image_32318.jpg,1
-0.2534,0.1234,-0.294,-0.1744,0.6606,0.11816,-0.6206,0.01091,0.1984,-0.1333,rectilinear_backward,depth_image_214400.jpg,0
-0.1375,0.52,-0.2477,-0.1982,0.02823,-0.6074,0.26,-0.0697,0.0865,0.5767,sidewinding_right,depth_image_226542.jpg,3
0.1368,0.4941,-0.1678,0.4363,-0.2156,-0.2966,0.06793,-0.572,0.2502,0.03973,straight,depth_image_80654.jpg,4
-0.504,0.1234,0.6978,-0.1744,-0.462,0.11816,-0.05817,0.01091,0.5425,-0.1333,rectilinear_backward,depth_image_218138.jpg,0
-0.005928,0.1234,-0.4998,0.00364,0.6978,-0.1284,-0.4663,0.1742,-0.05225,-0.11273,rectilinear_forward,depth_image_102921.jpg,1
-0.627,0.1234,0.2123,0.00364,0.333,-0.1284,-0.6733,0.1742,0.599,-0.11273,rectilinear_forward,depth_image_225538.jpg,1
0.0748,0.5854,0.2612,-0.0412,0.0404,-0.6035,-0.2434,-0.2251,-0.1478,0.5044,sidewinding_left,depth_image_216376.jpg,2
0.2268,0.3052,-0.0775,0.5835,-0.261,-0.04773,-0.03763,-0.6045,0.2444,-0.219,sidewinding_right,depth_image_34313.jpg,3
0.4214,0.1234,-0.6934,-0.1744,0.5386,0.11816,-0.05225,0.01091,-0.4663,-0.1333,rectilinear_backward,depth_image_217161.jpg,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight,depth_image_219400.jpg,4
-0.2612,-0.0426,-0.07544,0.585,0.2279,0.3008,0.1759,-0.4524,-0.1503,-0.5,sidewinding_left,depth_image_123167.jpg,2
0.193,-0.4128,-0.13,-0.5303,-0.2502,0.1788,0.01953,0.6094,0.259,0.0899,sidewinding_left,depth_image_140658.jpg,2
-0.03412,-0.6055,-0.2607,-0.05597,-0.0809,0.581,0.225,0.3123,0.1802,-0.443,sidewinding_left,depth_image_123039.jpg,2
-0.01047,-0.6104,0.253,-0.1584,0.122,0.5405,-0.199,0.397,-0.2098,-0.3655,sidewinding_right,depth_image_83664.jpg,3
-0.1438,-0.5103,0.1816,-0.44,0.2239,0.3164,-0.0829,0.5796,-0.2605,-0.0608,sidewinding_right,depth_image_232848.jpg,3
0.03008,-0.607,-0.2471,-0.2023,-0.139,0.5176,0.1857,0.4307,0.221,-0.3276,sidewinding_left,depth_image_176929.jpg,2
0.3083,-0.3525,0.2284,0.011314,-0.1932,0.3813,-0.02344,0.1713,-0.2778,-0.2915,rectilinear_forward,depth_image_29123.jpg,1
0.276,0.1234,0.272,0.00364,-0.6523,-0.1284,0.6313,0.1742,-0.2214,-0.11273,rectilinear_forward,depth_image_43753.jpg,1
-0.00628,0.27,-0.00762,-0.00261,0.001587,-0.3418,-0.00829,0.01055,0.005547,0.2944,straight,depth_image_83757.jpg,4
-0.157,0.0914,-0.09845,-0.1562,0.04846,-0.1603,0.1984,0.1636,-0.1359,0.1538,sidewinding_right,depth_image_219737.jpg,3
0.683,0.1234,-0.576,0.00364,0.1143,-0.1284,0.418,0.1742,-0.693,-0.11273,rectilinear_forward,depth_image_76938.jpg,1
-0.3625,0.1234,0.6816,0.00364,-0.581,-0.1284,0.1228,0.1742,0.411,-0.11273,rectilinear_forward,depth_image_63101.jpg,1
-0.0495,-0.007378,-0.00817,0.332,-0.005974,0.2003,0.00985,-0.1552,-0.00695,-0.3574,straight,depth_image_219889.jpg,4
0.1545,0.1234,0.3843,-0.1744,-0.6865,0.11816,0.5664,0.01091,-0.0973,-0.1333,rectilinear_backward,depth_image_214460.jpg,0
0.1123,0.552,0.2554,-0.1339,0.0003636,-0.611,-0.2554,-0.1356,-0.113,0.5513,sidewinding_left,depth_image_178158.jpg,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight,depth_image_216982.jpg,4
0.3042,0.1234,-0.664,-0.1744,0.615,0.11816,-0.1875,0.01091,-0.3555,-0.1333,rectilinear_backward,depth_image_218418.jpg,0
0.2317,0.2847,-0.0679,0.59,-0.2615,-0.02434,-0.04752,-0.6006,0.2406,-0.2407,sidewinding_right,depth_image_246232.jpg,3
-0.10455,-0.56,-0.257,0.1144,-0.00891,0.6104,0.2532,0.1549,0.1206,-0.542,sidewinding_left,depth_image_117166.jpg,2
-0.677,0.1234,0.5923,-0.1744,-0.1434,0.11816,-0.3938,0.01091,0.6885,-0.1333,rectilinear_backward,depth_image_217689.jpg,0
0.6963,0.1234,-0.519,0.00364,0.02264,-0.1284,0.4878,0.1742,-0.698,-0.11273,rectilinear_forward,depth_image_85714.jpg,1
0.1202,0.37,-0.0771,0.4502,-0.1825,-0.1439,-0.010124,-0.5415,0.1968,0.004196,straight,depth_image_107561.jpg,4
0.679,0.1234,-0.3542,0.00364,-0.189,-0.1284,0.6157,0.1742,-0.6636,-0.11273,rectilinear_forward,depth_image_110596.jpg,1
-0.1266,-0.5347,0.1956,-0.406,0.2129,0.3555,-0.1017,0.563,-0.2578,-0.10724,sidewinding_right,depth_image_2295.jpg,3
0.002697,0.1234,0.502,-0.1744,-0.6978,0.11816,0.4639,0.01091,0.05548,-0.1333,rectilinear_backward,depth_image_217321.jpg,0
0.2012,-0.3997,0.1097,0.3557,0.1294,0.4377,-0.2617,-0.1136,-0.003647,-0.616,sidewinding_right,depth_image_241456.jpg,3
0.261,-0.0451,0.03873,-0.604,-0.244,-0.2214,-0.1464,0.5063,0.1794,0.4448,sidewinding_left,depth_image_118367.jpg,2
-0.2646,-0.26,0.1842,-0.3809,0.2144,0.2551,-0.268,0.56,0.2413,-0.07,sidewinding_right,depth_image_240293.jpg,3
-0.3948,0.1234,0.689,0.00364,-0.559,-0.1284,0.08496,0.1742,0.4412,-0.11273,rectilinear_forward,depth_image_2983.jpg,1
-0.02156,0.609,0.2498,0.1833,0.1317,-0.528,-0.1917,-0.4163,-0.2163,0.3442,sidewinding_left,depth_image_146938.jpg,2
-0.1266,0.5347,0.1956,0.406,0.2129,-0.3555,-0.1017,-0.563,-0.2578,0.10724,sidewinding_left,depth_image_228006.jpg,2
-0.0822,-0.1902,-0.04767,0.2898,-0.0001984,0.379,0.10913,-0.0623,0.00261,-0.4673,straight,depth_image_140914.jpg,4
-0.00805,0.0009003,-0.00927,0.004868,0.00994,-0.07056,-0.00506,0.004623,0.002975,0.04498,straight,depth_image_210935.jpg,4
-0.2379,-0.2551,-0.159,0.485,0.1677,0.469,0.233,-0.278,-0.0649,-0.592,sidewinding_left,depth_image_228045.jpg,2
-0.2323,-0.2815,0.0664,-0.591,0.2617,0.02084,0.049,0.6,-0.24,0.2439,sidewinding_right,depth_image_41235.jpg,3
0.09143,0.5723,-0.2191,0.3345,-0.1881,-0.4248,0.1361,-0.522,0.2482,0.1946,sidewinding_right,depth_image_177209.jpg,3
0.1973,0.1234,0.3467,0.00364,-0.6772,-0.1284,0.591,0.1742,-0.1409,-0.11273,rectilinear_forward,depth_image_68367.jpg,1
0.04547,0.295,-0.002487,0.375,-0.10803,-0.0692,0.000534,-0.4663,0.1224,-0.006462,straight,depth_image_107568.jpg,4
0.5425,0.1234,-0.05817,0.00364,-0.462,-0.1284,0.6978,0.1742,-0.504,-0.11273,rectilinear_forward,depth_image_77724.jpg,1
0.5957,0.1234,-0.1493,0.00364,-0.389,-0.1284,0.6875,0.1742,-0.563,-0.11273,rectilinear_forward,depth_image_52373.jpg,1
-0.08014,-0.5815,-0.2607,0.05414,-0.03488,0.6055,0.2454,0.213,0.1432,-0.511,sidewinding_left,depth_image_146846.jpg,2
0.528,0.1234,-0.03555,0.00364,-0.4785,-0.1284,0.698,0.1742,-0.4878,-0.11273,rectilinear_forward,depth_image_190288.jpg,1
-0.000931,0.1021,0.003586,0.3037,-0.002121,-0.003891,-0.01059,-0.3525,-0.002731,-0.00948,straight,depth_image_246416.jpg,4
-0.000351,0.4058,0.0637,0.2487,0.0685,-0.2349,0.006462,-0.4136,-0.11774,-0.008415,straight,depth_image_201539.jpg,4
-0.0709,-0.588,0.2301,-0.2913,0.1725,0.4595,-0.154,0.494,-0.2405,-0.2417,sidewinding_right,depth_image_75473.jpg,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight,depth_image_102329.jpg,4
-0.001999,-0.09216,0.004562,-0.0478,-0.00585,-7.63e-05,-0.0104,0.1786,-0.00567,0.0027,straight,depth_image_175044.jpg,4
-0.1864,0.1234,-0.3564,0.00364,0.68,-0.1284,-0.585,0.1742,0.1298,-0.11273,rectilinear_forward,depth_image_24616.jpg,1
0.1671,0.1234,0.3735,0.00364,-0.684,-0.1284,0.5737,0.1742,-0.11005,-0.11273,rectilinear_forward,depth_image_87704.jpg,1
0.00631,0.07,0.4229,-0.00702,-0.6445,-0.075,0.436,0.12103,0.009285,-0.05936,straight,depth_image_235500.jpg,4
-0.317,0.1234,-0.2296,-0.1744,0.635,0.11816,-0.649,0.01091,0.264,-0.1333,rectilinear_backward,depth_image_214742.jpg,0
0.02301,-0.4917,0.1842,0.02252,0.00573,0.5347,-0.1769,0.0972,-0.05246,-0.4585,straight,depth_image_104151.jpg,4
0.11,-0.554,-0.2074,-0.3726,-0.2015,0.39,0.1185,0.5444,0.254,-0.1497,sidewinding_left,depth_image_178590.jpg,2
0.443,0.0745,0.002853,-0.00762,-0.3281,-0.07355,0.2109,0.07806,-0.429,-0.014915,straight,depth_image_179200.jpg,4
-0.3677,0.1234,0.6826,-0.1744,-0.5776,0.11816,0.117,0.01091,0.4158,-0.1333,rectilinear_backward,depth_image_214245.jpg,0
0.01564,0.1234,0.493,0.00364,-0.698,-0.1284,0.4734,0.1742,0.04257,-0.11273,rectilinear_forward,depth_image_34922.jpg,1
-0.2578,-0.10547,-0.10095,0.5635,0.2134,0.354,0.1951,-0.4075,-0.1273,-0.5337,sidewinding_left,depth_image_215002.jpg,2
-0.3284,0.1234,-0.2174,0.00364,0.6294,-0.1284,-0.654,0.1742,0.276,-0.11273,rectilinear_forward,depth_image_21075.jpg,1
-0.01266,-0.3591,0.03653,-0.3145,0.0901,0.1598,0.0002594,0.4463,-0.123,-0.00796,straight,depth_image_175019.jpg,4
0.10046,0.1234,-0.5684,-0.1744,0.686,0.11816,-0.3816,0.01091,-0.1577,-0.1333,rectilinear_backward,depth_image_217381.jpg,0
0.4702,0.1234,-0.6978,0.00364,0.4958,-0.1284,0.01132,0.1742,-0.5117,-0.11273,rectilinear_forward,depth_image_182189.jpg,1
0.3843,0.1234,0.1545,0.00364,-0.598,-0.1284,0.674,0.1742,-0.3345,-0.11273,rectilinear_forward,depth_image_9315.jpg,1
-0.4324,0.1234,-0.0962,-0.1744,0.5654,0.11816,-0.687,0.01091,0.3853,-0.1333,rectilinear_backward,depth_image_217710.jpg,0
0.002993,-0.611,-0.2546,-0.1416,-0.11536,0.5483,0.2037,0.3835,0.2052,-0.3792,sidewinding_left,depth_image_91196.jpg,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight,depth_image_51058.jpg,4
-0.05594,-0.1893,-0.2617,-0.01061,-0.05948,0.1802,0.2295,0.2568,0.1654,-0.2869,sidewinding_left,depth_image_2430.jpg,2
0.544,0.1234,-0.6924,0.00364,0.4146,-0.1284,0.1186,0.1742,-0.5786,-0.11273,rectilinear_forward,depth_image_71892.jpg,1
0.04688,0.1234,-0.535,-0.1744,0.694,0.11816,-0.4255,0.01091,-0.10474,-0.1333,rectilinear_backward,depth_image_214408.jpg,0
-0.688,0.1234,0.3901,0.00364,0.1477,-0.1284,-0.5947,0.1742,0.676,-0.11273,rectilinear_forward,depth_image_206674.jpg,1
0.261,-0.0451,0.03873,-0.604,-0.244,-0.2214,-0.1464,0.5063,0.1794,0.4448,sidewinding_left,depth_image_91562.jpg,2
0.00261,0.03287,0.0227,-0.00579,-0.000717,-0.12396,-0.01572,-0.006035,-0.007683,0.0983,straight,depth_image_210930.jpg,4
-0.0807,0.1234,-0.4446,0.00364,0.6963,-0.1284,-0.519,0.1742,0.02264,-0.11273,rectilinear_forward,depth_image_155174.jpg,1
-0.00762,-0.00915,0.0056,0.002121,0.01046,0.02649,-0.00817,-0.009026,-0.00805,-0.11426,straight,depth_image_140947.jpg,4
0.645,0.1234,-0.639,0.00364,0.2402,-0.1284,0.3066,0.1742,-0.665,-0.11273,rectilinear_forward,depth_image_12549.jpg,1
0.115,0.549,0.2546,-0.1407,-0.002628,-0.611,-0.2559,-0.1288,-0.1103,0.554,sidewinding_left,depth_image_117083.jpg,2
-0.294,0.1234,-0.2534,0.00364,0.645,-0.1284,-0.639,0.1742,0.2402,-0.11273,rectilinear_forward,depth_image_69910.jpg,1
-0.07635,-0.3635,-0.1348,0.1943,-0.004013,0.4917,0.1658,0.001083,-0.00851,-0.5054,straight,depth_image_214111.jpg,4
0.3066,0.1234,-0.665,0.00364,0.614,-0.1284,-0.1848,0.1742,-0.358,-0.11273,rectilinear_forward,depth_image_152184.jpg,1
0.665,0.1234,-0.614,-0.1744,0.1848,0.11816,0.358,0.01091,-0.68,-0.1333,rectilinear_backward,depth_image_217516.jpg,0
-0.669,0.1234,0.607,0.00364,-0.1713,-0.1284,-0.3699,0.1742,0.683,-0.11273,rectilinear_forward,depth_image_25218.jpg,1
0.69,0.1234,-0.4019,-0.1744,-0.1339,0.11816,0.5874,0.01091,-0.679,-0.1333,rectilinear_backward,depth_image_214209.jpg,0
-0.1434,0.1234,-0.3938,-0.1744,0.6885,0.11816,-0.5596,0.01091,0.08606,-0.1333,rectilinear_backward,depth_image_218406.jpg,0
-0.01294,0.1234,-0.4949,0.00364,0.6978,-0.1284,-0.4714,0.1742,-0.04526,-0.11273,rectilinear_forward,depth_image_248389.jpg,1
0.4746,0.1234,0.04095,0.00364,-0.5312,-0.1284,0.695,0.1742,-0.4304,-0.11273,rectilinear_forward,depth_image_189713.jpg,1
-0.639,0.1234,0.2402,0.00364,0.3066,-0.1284,-0.665,0.1742,0.614,-0.11273,rectilinear_forward,depth_image_99168.jpg,1
0.1978,-0.07056,-0.128,-0.006706,0.3367,0.1655,-0.229,0.1459,-0.2593,-0.1438,straight,depth_image_42798.jpg,4
-0.2238,0.3171,-0.1819,-0.4392,0.1434,-0.5107,0.2452,0.2139,-0.0353,0.6055,sidewinding_right,depth_image_68810.jpg,3
-0.0637,0.5923,-0.2617,-0.0143,-0.05176,-0.5986,0.2389,-0.2499,0.1571,0.4885,sidewinding_right,depth_image_106935.jpg,3
-0.6426,0.1234,0.6416,-0.1744,-0.2454,0.11816,-0.3018,0.01091,0.663,-0.1333,rectilinear_backward,depth_image_217457.jpg,0
-0.2296,0.1234,-0.317,0.00364,0.6685,-0.1284,-0.6084,0.1742,0.174,-0.11273,rectilinear_forward,depth_image_166498.jpg,1
-0.2238,-0.3171,-0.1819,0.4392,0.1434,0.5107,0.2452,-0.2139,-0.0353,-0.6055,sidewinding_left,depth_image_147482.jpg,2
-0.2114,0.3262,0.474,0.2059,-0.3848,-0.11774,-0.001999,-0.02826,0.1963,-0.1447,sidewinding_left,depth_image_195983.jpg,2
0.1764,0.4514,0.2277,-0.3018,-0.0759,-0.5845,-0.2612,0.04382,-0.03928,0.604,sidewinding_left,depth_image_219258.jpg,2
0.26,-0.0719,0.0874,0.5757,-0.2214,0.326,-0.185,-0.4321,0.1398,-0.5166,sidewinding_right,depth_image_81584.jpg,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight,depth_image_219405.jpg,4
0.01034,-0.004562,-0.2769,0.00364,0.3818,-0.000412,-0.0687,0.003708,-0.003464,-0.006096,straight,depth_image_126919.jpg,4
-0.3027,0.1234,-0.2444,-0.1744,0.641,0.11816,-0.643,0.01091,0.2494,-0.1333,rectilinear_backward,depth_image_218287.jpg,0
-0.525,0.1234,0.6953,-0.1744,-0.438,0.11816,-0.08923,0.01091,0.5615,-0.1333,rectilinear_backward,depth_image_218368.jpg,0
0.184,-0.4346,-0.1411,-0.5146,-0.2462,0.2076,0.0325,0.606,0.2605,0.05972,sidewinding_left,depth_image_885.jpg,2
0.22,-0.331,-0.0899,-0.5737,-0.2598,0.078,-0.02467,0.608,0.2488,0.1903,sidewinding_left,depth_image_210731.jpg,2
0.6826,0.1234,-0.3677,0.00364,-0.174,-0.1284,0.6084,0.1742,-0.6685,-0.11273,rectilinear_forward,depth_image_61646.jpg,1
0.2023,0.388,-0.11755,0.546,-0.2542,-0.1471,0.00544,-0.611,0.2566,-0.1223,sidewinding_right,depth_image_194655.jpg,3
-0.545,0.1234,0.692,-0.1744,-0.413,0.11816,-0.1202,0.01091,0.5796,-0.1333,rectilinear_backward,depth_image_218025.jpg,0
0.612,0.1234,-0.666,0.00364,0.3105,-0.1284,0.2362,0.1742,-0.6377,-0.11273,rectilinear_forward,depth_image_27915.jpg,1
0.2583,0.0797,0.0147,0.4595,-0.2517,0.1892,-0.1257,-0.3853,0.1962,-0.2969,sidewinding_right,depth_image_69107.jpg,3
-0.0089,0.007805,-0.01006,-0.3057,-0.00506,0.001572,0.001755,0.2783,-0.01061,0.01932,straight,depth_image_98922.jpg,4
-0.655,0.1234,0.628,0.00364,-0.2148,-0.1284,-0.3308,0.1742,0.673,-0.11273,rectilinear_forward,depth_image_122276.jpg,1
0.6357,0.1234,-0.2322,-0.1744,-0.3145,0.11816,0.6675,0.01091,-0.61,-0.1333,rectilinear_backward,depth_image_218217.jpg,0
0.10315,-0.5615,0.2573,0.11096,0.01041,0.6104,-0.253,0.1583,-0.12195,-0.5405,sidewinding_right,depth_image_246275.jpg,3
-0.6934,0.1234,0.5386,-0.1744,-0.05225,0.11816,-0.4663,0.01091,0.6978,-0.1333,rectilinear_backward,depth_image_8069.jpg,0
-0.1829,-0.437,0.1423,-0.5127,0.2457,0.2109,-0.034,0.6055,-0.2607,0.05624,sidewinding_right,depth_image_47969.jpg,3
-0.535,0.1234,0.694,-0.1744,-0.4255,0.11816,-0.10474,0.01091,0.571,-0.1333,rectilinear_backward,depth_image_214480.jpg,0
-0.0089,-0.009514,-0.003784,0.10754,-0.00927,0.001755,0.0104,-0.05515,-0.0075,0.00829,straight,depth_image_165387.jpg,4
-0.166,-0.001556,-0.009605,0.496,0.1384,0.1781,0.0702,-0.3755,-0.0648,-0.3855,straight,depth_image_140512.jpg,4
0.236,0.1946,-0.02072,0.5957,-0.2499,0.0517,-0.0728,-0.5684,0.213,-0.3071,straight,depth_image_232101.jpg,4
-0.1113,-0.5527,0.2065,-0.3755,0.2025,0.3872,-0.1172,0.5464,-0.2542,-0.1462,sidewinding_right,depth_image_194889.jpg,3
0.1313,-0.3025,0.1289,0.3096,-0.04132,0.4722,-0.18,-0.0686,-0.006897,-0.5356,straight,depth_image_241643.jpg,4
0.4585,0.1234,0.06247,-0.1744,-0.545,0.11816,0.692,0.01091,-0.413,-0.1333,rectilinear_backward,depth_image_214451.jpg,0
0.03555,0.0012665,0.0075,-0.308,0.003159,-0.2092,-0.00567,0.1225,0.00689,0.357,straight,depth_image_90283.jpg,4
-0.03455,-0.6055,0.2455,-0.2122,0.1428,0.5117,-0.1825,0.438,-0.2234,-0.3186,sidewinding_right,depth_image_194881.jpg,3
0.3184,0.1234,-0.669,-0.1744,0.6074,0.11816,-0.1724,0.01091,-0.369,-0.1333,rectilinear_backward,depth_image_217387.jpg,0
-0.0989,0.1234,0.5674,0.00364,-0.6865,-0.1284,0.383,0.1742,0.1561,-0.11273,rectilinear_forward,depth_image_56337.jpg,1
-0.224,0.1234,0.6323,0.00364,-0.6514,-0.1284,0.2693,0.1742,0.2783,-0.11273,rectilinear_forward,depth_image_153275.jpg,1
-0.4836,0.1234,0.698,0.00364,-0.483,-0.1284,-0.02965,0.1742,0.524,-0.11273,rectilinear_forward,depth_image_11697.jpg,1
0.4868,0.1234,-0.698,0.00364,0.4797,-0.1284,0.03397,0.1742,-0.527,-0.11273,rectilinear_forward,depth_image_80043.jpg,1
-0.2094,-0.3667,0.1071,-0.5576,0.2566,0.1208,0.006104,0.611,-0.254,0.1486,sidewinding_right,depth_image_2306.jpg,3
-0.0009003,-0.00854,0.001968,-0.1021,-0.005478,-0.003128,0.006462,0.07794,-0.001389,0.003586,straight,depth_image_86814.jpg,4
0.1859,-0.307,-0.06168,-0.538,-0.2272,0.0554,-0.00996,0.5767,0.2181,0.1494,straight,depth_image_147701.jpg,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,straight,depth_image_53508.jpg,4
0.08563,-0.2388,0.252,0.06757,0.01797,0.2338,-0.2394,0.1954,-0.1442,-0.2402,sidewinding_right,depth_image_102645.jpg,3
-0.007805,0.00512,0.00405,0.2554,-0.00689,0.00817,-0.008415,-0.182,-0.006218,-0.05176,straight,depth_image_69070.jpg,4
0.02008,-0.609,-0.2502,-0.18,-0.1305,0.53,0.1926,0.4138,0.2155,-0.3472,sidewinding_left,depth_image_148013.jpg,2
0.532,0.1234,-0.04257,0.00364,-0.4734,-0.1284,0.698,0.1742,-0.493,-0.11273,rectilinear_forward,depth_image_40564.jpg,1
0.0805,0.3047,0.1051,0.1847,-0.475,-0.3096,0.442,-0.00695,-0.02551,0.0685,sidewinding_right,depth_image_129572.jpg,3
-0.259,0.08923,-0.0944,-0.57,0.2173,-0.3406,0.1903,0.4194,-0.1334,0.526,sidewinding_right,depth_image_194595.jpg,3
0.4565,0.1234,0.0651,0.00364,-0.547,-0.1284,0.692,0.1742,-0.411,-0.11273,rectilinear_forward,depth_image_70087.jpg,1
0.5527,0.1234,-0.0748,-0.1744,-0.4492,0.11816,0.697,0.01091,-0.515,-0.1333,rectilinear_backward,depth_image_214562.jpg,0
-0.6313,0.1234,0.2214,-0.1744,0.3245,0.11816,-0.671,0.01091,0.604,-0.1333,rectilinear_backward,depth_image_218160.jpg,0
-0.1288,0.5317,-0.2507,-0.1759,0.01822,-0.6094,0.2588,-0.09296,0.09595,0.5684,sidewinding_right,depth_image_109598.jpg,3
0.2493,-0.1863,0.1328,0.5264,-0.1907,0.4185,-0.217,-0.3418,0.095,-0.5693,sidewinding_right,depth_image_65037.jpg,3
